epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,856.563,1.36348,3.19873,1.33045,0.4541,0.11887,0.19586,0.11058,1.31136,3.31804,1.31621,0.000299435,0.000299435,0.000299435
2,770.34,1.33681,2.51908,1.32874,0.25817,0.3726,0.24565,0.13291,1.43085,3.35986,1.43828,0.000590507,0.000590507,0.000590507
3,1159.37,1.34437,2.34068,1.36302,0.33603,0.35459,0.28153,0.15289,1.54693,2.91724,1.64165,0.00086958,0.00086958,0.00086958
4,2144.86,1.44321,2.34848,1.39167,0.30729,0.35241,0.26311,0.15331,1.46295,2.93422,1.48914,0.000855005,0.000855005,0.000855005
5,3647.42,1.41479,2.19845,1.38335,0.33406,0.34158,0.2709,0.15244,1.46148,2.56248,1.52091,0.000837007,0.000837007,0.000837007
6,4745.94,1.37321,2.06503,1.35224,0.48572,0.33697,0.33727,0.19791,1.45888,2.45391,1.49478,0.000819009,0.000819009,0.000819009
7,5755.27,1.35854,1.97179,1.34048,0.44198,0.38749,0.38346,0.23179,1.43471,2.12134,1.45711,0.000801011,0.000801011,0.000801011
8,6656.6,1.35915,1.93638,1.33131,0.34327,0.35127,0.36826,0.21366,1.37311,2.45972,1.38105,0.000783013,0.000783013,0.000783013
9,7727.19,1.31189,1.84066,1.30636,0.46516,0.46614,0.4499,0.26683,1.36847,1.96761,1.41009,0.000765014,0.000765014,0.000765014
10,8583.43,1.29753,1.76706,1.29213,0.41978,0.39722,0.38345,0.22139,1.37998,2.27753,1.41301,0.000747016,0.000747016,0.000747016
11,9451.49,1.28064,1.68254,1.28427,0.54191,0.46248,0.46298,0.27755,1.31636,1.83408,1.35524,0.000729018,0.000729018,0.000729018
12,11529.9,1.25651,1.63234,1.26701,0.52249,0.43644,0.46808,0.28287,1.3333,2.01829,1.38504,0.00071102,0.00071102,0.00071102
13,12496.5,1.24298,1.61413,1.24675,0.4746,0.53317,0.48904,0.31064,1.28841,1.75051,1.3398,0.000693022,0.000693022,0.000693022
14,13466.5,1.22411,1.55682,1.23962,0.54402,0.50641,0.50429,0.31195,1.27275,1.73895,1.3258,0.000675023,0.000675023,0.000675023
15,19370.3,1.20003,1.48516,1.22724,0.55752,0.51495,0.50636,0.3178,1.35334,1.65907,1.39852,0.000657025,0.000657025,0.000657025
